Date:1428451200 Price:245.89
Date:1428537600 Price:244.98
Date:1428624000 Price:235.71
Date:1428710400 Price:236.70
Date:1428796800 Price:236.76
Date:1428883200 Price:225.99
Date:1428969600 Price:216.00
Date:1429056000 Price:218.96
Date:1429142400 Price:229.62
Date:1429228800 Price:222.67
Date:1429315200 Price:222.32
Date:1429401600 Price:225.72
Date:1429488000 Price:224.63
Date:1429574400 Price:224.88
Date:1429660800 Price:237.34
Date:1429747200 Price:235.48
Date:1429833600 Price:230.93
Date:1429920000 Price:228.60
Date:1430006400 Price:218.42
Date:1430092800 Price:222.59
Date:1430179200 Price:222.66
Date:1430265600 Price:225.69
Date:1430352000 Price:235.13
Date:1430438400 Price:233.43
Date:1430524800 Price:234.13
Date:1430611200 Price:240.51
Date:1430697600 Price:236.17
Date:1430784000 Price:234.66
Date:1430870400 Price:235.79
Date:1430956800 Price:233.99
Date:1431043200 Price:244.72
Date:1431129600 Price:241.08
Date:1431216000 Price:239.35
Date:1431302400 Price:244.19
Date:1431388800 Price:241.51
Date:1431475200 Price:242.72
Date:1431561600 Price:238.32
Date:1431648000 Price:237.60
Date:1431734400 Price:236.63
Date:1431820800 Price:235.78
Date:1431907200 Price:236.45
Date:1431993600 Price:232.04
Date:1432080000 Price:234.60
Date:1432166400 Price:236.00
Date:1432252800 Price:240.50
Date:1432339200 Price:238.77
Date:1432425600 Price:240.46
Date:1432512000 Price:235.65
Date:1432598400 Price:235.94
Date:1432684800 Price:235.00
Date:1432771200 Price:236.48
Date:1432857600 Price:235.87
Date:1432944000 Price:231.12
