"idx","data","godzina","flow"
"333","02/03/2014","23",24.25
"334","02/04/2014","00",17.1875
"335","02/04/2014","01",10.5
"336","02/04/2014","02",10.5
"337","02/04/2014","03",15.25
"338","02/04/2014","04",31
"339","02/04/2014","05",73.5
"340","02/04/2014","06",162
"341","02/04/2014","07",362
"342","02/04/2014","08",422.25
"343","02/04/2014","09",281.75
"344","02/04/2014","10",224
"345","02/04/2014","11",213.25
"346","02/04/2014","12",205.75
"347","02/04/2014","13",200.25
"348","02/04/2014","14",212.75
"349","02/04/2014","15",214
"350","02/04/2014","16",283.75
"351","02/04/2014","17",266
"352","02/04/2014","18",208.75
"353","02/04/2014","19",115
"354","02/04/2014","20",90
"355","02/04/2014","21",53.75
"356","02/04/2014","22",39.75
"357","02/04/2014","23",26.75
"358","02/05/2014","00",14
"359","02/05/2014","01",13.9375
"360","02/05/2014","02",16.125
"361","02/05/2014","03",22.75
"362","02/05/2014","04",26.5
"363","02/05/2014","05",77.25
"364","02/05/2014","06",166.5
"365","02/05/2014","07",377.25
"366","02/05/2014","08",434
"367","02/05/2014","09",351.75
"368","02/05/2014","10",289.5
"369","02/05/2014","11",250.5
"370","02/05/2014","12",223.5
"371","02/05/2014","13",221.25
"372","02/05/2014","14",221.75
"373","02/05/2014","15",231.5
"374","02/05/2014","16",256.75
"375","02/05/2014","17",249
"376","02/05/2014","18",185.5
"377","02/05/2014","19",126
"378","02/05/2014","20",72
"379","02/05/2014","21",60.75
"380","02/05/2014","22",44.5
"381","02/05/2014","23",34.25
"382","02/06/2014","00",23.75
"383","02/06/2014","01",14.0625
"384","02/06/2014","02",19.75
"385","02/06/2014","03",26
"386","02/06/2014","04",35.75
"387","02/06/2014","05",85.25
"388","02/06/2014","06",180.5
"389","02/06/2014","07",366.75
"390","02/06/2014","08",414
"391","02/06/2014","09",275.75
"392","02/06/2014","10",226.75
"393","02/06/2014","11",222.5
"394","02/06/2014","12",190.75
"395","02/06/2014","13",215
"396","02/06/2014","14",199.25
"397","02/06/2014","15",219.25
"398","02/06/2014","16",251
"399","02/06/2014","17",257.5
"400","02/06/2014","18",182
"401","02/06/2014","19",113
"402","02/06/2014","20",81.25
"403","02/06/2014","21",50.75
"404","02/06/2014","22",36.5
"405","02/06/2014","23",18.75
"406","02/07/2014","00",18
"407","02/07/2014","01",19.5
"408","02/07/2014","02",15
"409","02/07/2014","03",14.25
"410","02/07/2014","04",37
"411","02/07/2014","05",74.75
"412","02/07/2014","06",163.5
"413","02/07/2014","07",352.25
"414","02/07/2014","08",401.5
"415","02/07/2014","09",298.25
"416","02/07/2014","10",244
"417","02/07/2014","11",231
"418","02/07/2014","12",221
"419","02/07/2014","13",198.75
"420","02/07/2014","14",210
"421","02/07/2014","15",233.5
"422","02/07/2014","16",272.5
"423","02/07/2014","17",269.75
"424","02/07/2014","18",198.5
"425","02/07/2014","19",134.5
"426","02/07/2014","20",99.5
"427","02/07/2014","21",75.25
"428","02/07/2014","22",43
"429","02/07/2014","23",39.5
"430","02/08/2014","00",42.25
"431","02/08/2014","01",25.75
"432","02/08/2014","02",18.5
"433","02/08/2014","03",21.75
"434","02/08/2014","04",14.9375
"435","02/08/2014","05",51.75
"436","02/08/2014","06",69
"437","02/08/2014","07",139.25
"438","02/08/2014","08",209.5
"439","02/08/2014","09",226.75
"440","02/08/2014","10",263.25
"441","02/08/2014","11",288.25
"442","02/08/2014","12",256
"443","02/08/2014","13",268.25
"444","02/08/2014","14",234
"445","02/08/2014","15",199.75
"446","02/08/2014","16",243.25
